,,train_score,val_score,max_depth,learning_rate,eta,lambda,gamma,alpha,min_child_weight,grow_policy
0,0,0.2908711127311453,0.49414461779403174,8,0.009816542820113006,0.4433191216466441,0.0008343190439222887,1.986205280994225e-05,2.1480233861142878e-05,3,lossguide
1,0,0.3465152286528659,0.5070515633784832,5,0.009948778525766437,0.9958686786372121,2.7349419330121945e-05,0.002159161211937026,0.1462059994985213,8,depthwise
2,0,0.2938901145632068,0.49170908400944824,8,0.009914302267857653,1.010756680134863e-05,0.002555537514620743,0.004517619612885833,0.009850006836328475,4,depthwise
3,0,0.27323409330416815,0.4577866077777885,8,0.009936623228792466,0.5244579001399778,0.010787322997450891,0.017647532116198628,0.00012935966823213486,2,depthwise
4,0,0.28636333622894117,0.5695629448262083,7,0.009784236565488161,0.005243152291503358,0.020837704125528884,8.080938193321467e-05,0.00012596802240233548,3,depthwise
0,13,0.28701592486443894,0.4832268120013775,5,0.009751061257697534,0.04658598769327475,0.003302260348870303,0.0010911216946518708,0.17038059149448867,2,depthwise
1,13,0.2943669377424538,0.46051863444813007,8,0.00992401976645459,0.0001276634951028581,0.0004938989109655154,0.2369707748129667,0.03924994361601487,3,depthwise
2,13,0.28490276183810714,0.45108503151540813,7,0.008031394751519325,0.001403918072773975,2.7626360462567665e-05,1.4667617940092283e-05,3.4425058895359614e-05,1,lossguide
3,13,0.23348632044373735,0.3985837776140839,7,0.009975593206411492,0.00010876254479864038,4.9608994336102574e-05,1.038972424648958e-05,0.015874801757415045,1,lossguide
4,13,0.3049172640205349,0.533555132146476,6,0.007425955515572517,2.646897045086389e-05,7.366067892100842e-05,0.3857211731804222,0.0024224373372495212,1,lossguide
0,25,0.24506430834971132,0.4678040887569468,6,0.009978155558279203,1.0121062216276888e-05,0.1025330835213087,0.5230318909656985,0.002961508295833615,1,depthwise
1,25,0.28519829277826797,0.507626095046281,4,0.009945861632494104,1.0800253437769431e-05,0.006113467143147923,0.08578142131899318,9.048540677577243e-05,1,depthwise
2,25,0.2965437303587278,0.4763609901922281,4,0.009907983837676925,0.0004306377944722719,0.0005857651317204659,0.009165445989422814,0.44751019476849696,1,lossguide
3,25,0.2885335959865917,0.46396380483436317,6,0.009845957715486046,0.5674772486460266,0.00021093769975028077,0.00044075677601652284,0.0012464654725000473,3,depthwise
4,25,0.33038090438802914,0.5337757798699605,8,0.008614411631916946,0.003397103265983395,0.0013647197229443848,1.018459123122045e-05,0.005225217374962811,4,depthwise
0,42,0.2673278244577434,0.4768698552553666,5,0.009969820611797837,0.0003475484834393948,4.282791305547301e-05,0.3399684359507155,0.0028456062842846914,2,lossguide
1,42,0.3638324101991016,0.5156409219969827,3,0.008841560346061358,0.000702822307041016,2.4217883524247557e-05,0.09016499502533169,0.0015861638844467203,1,depthwise
2,42,0.26949513222847254,0.43100087995147196,8,0.009859707106822496,0.00061862705903787,0.0003237500990664793,0.0614543346381885,1.0497891454486245e-05,2,depthwise
3,42,0.28991204626236877,0.5413500889509666,6,0.007790796021624719,0.0010212227665704252,0.0038085619806093084,0.15843863784372336,0.030986330770000722,1,lossguide
4,42,0.32504672815021074,0.5022972565175605,4,0.009961712191667688,0.4088149052035799,1.7804219605899344e-05,0.010886515829906704,1.0966088096900617e-05,6,depthwise
0,67,0.3293325402946069,0.5695453617595627,3,0.009942436688578294,0.006352699912320339,0.0030551551356373416,0.00021127600383997344,0.0010803347508577695,1,depthwise
1,67,0.26603316205417105,0.3963180036415178,5,0.009316117165937948,0.02296918319864144,1.0165574250106595e-05,0.0011219152456680573,0.0051813641217983075,1,depthwise
2,67,0.24189189478340511,0.4946785661501728,9,0.009828497211460686,1.2904552661772019e-05,1.2361381276090889e-05,1.089888359065285e-05,0.00433534796519257,1,lossguide
3,67,0.24253378594590613,0.5072684785356374,6,0.009853950768440214,0.034212102392028244,0.06255427487759743,0.07742400441906538,0.0025857286440974436,1,depthwise
4,67,0.271351782047926,0.4534640263880835,7,0.009901018423987284,0.0055424760832841775,0.0001383649955319659,0.013489917553920443,0.01159590330112374,2,depthwise
